row_type,candidate_id,classification,split,stat,seed,line_gate_pass,ic_mean,long_short_spread,fee_adjusted_return,false_safe_tail_rate,severe_downside_recall,conservative_bias,upside_sacrifice,direction_accuracy,h1_false_safe_tail_rate,h1_severe_downside_recall,h2_h3_false_safe_tail_rate,h2_h3_severe_downside_recall,h4_h5_false_safe_tail_rate,h4_h5_severe_downside_recall,stress_false_safe_tail_rate,stress_severe_downside_recall,vix_rising_false_safe_tail_rate,vix_rising_severe_downside_recall,breadth_worsening_false_safe_tail_rate,breadth_worsening_severe_downside_recall,checkpoint_path
run,trial006_c_balanced,,validation,raw,42,True,0.053421786277584114,0.006551553709605591,7.530381058449931,0.29682020039331714,0.6967936670653226,-0.022685401141643524,0.06537554413080215,0.4810139834880829,0.306283631314008,0.6576074332171893,0.2980268487443583,0.681777053926891,0.2840238398333526,0.7048790363397105,0.20353982300884957,0.6666666666666666,0.2996294668090184,0.6883339687380862,0.2853591004124993,0.7059693217519867,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-72c20c0c92c4.pt
run,trial006_c_balanced,,test,raw,42,True,0.04483734294791856,0.006704354602212616,6.458434103660205,0.35204292439928536,0.6515590818217026,-0.017569661140441895,0.06539836525917053,0.5011900663375854,0.36430494831629845,0.6333008492273423,0.3539784572619875,0.6474918891939107,0.3458999305072967,0.6595916795069338,0.2550046196489067,0.7415307402760352,0.32568032165957694,0.6709762243891749,0.3393733484333711,0.6582980439604759,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-72c20c0c92c4.pt
run,trial006_c_balanced,,validation,raw,7,True,0.03889168418491497,0.008437799768786053,38.505982658240875,0.24710118286911412,0.7405746340907796,-0.03313576430082321,0.07646683603525162,0.46827495098114014,0.2524445987386449,0.6875725900116144,0.2510415461173475,0.7252081071299312,0.2305578058095128,0.7533151128656747,0.1710914454277286,0.6818181818181818,0.25573070401306286,0.7195958825772016,0.22597050347516529,0.7423766401774163,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-8448355d3c24.pt
run,trial006_c_balanced,,test,raw,7,True,0.03446477076968967,0.004774493841939347,2.690827673930624,0.26885944237853315,0.7320305222060562,-0.031861815601587296,0.08206858485937119,0.49027276039123535,0.2809450733995425,0.7109842684115272,0.27550961315728517,0.7239206388819566,0.2584839008570767,0.7424499229583975,0.1857098860486603,0.8161856963613551,0.24037060777343977,0.7540265147364961,0.26554494957665964,0.7312966323855616,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-8448355d3c24.pt
run,trial006_c_balanced,,validation,raw,123,True,0.054432789785102624,0.009520445112441092,63.075829228041215,0.2372915973693271,0.7498718605843158,-0.03311160206794739,0.07625237852334976,0.47108185291290283,0.23661979980327488,0.7149825783972126,0.22911121397986345,0.745656894679696,0.2318308066196042,0.7528596011742079,0.168141592920354,0.7121212121212122,0.24028135401620299,0.7405642394205109,0.21173080183081877,0.7745333579744964,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-689b60fb6aed.pt
run,trial006_c_balanced,,test,raw,123,True,0.042207046186910985,0.005298420956578071,3.7659632319915852,0.28167973137333635,0.7179940755937491,-0.02996685355901718,0.07922161370515823,0.49579542875289917,0.2877783246952544,0.7016566894055408,0.2762045401899467,0.7226728225605191,0.2813006717627982,0.7201078582434515,0.19525716045580535,0.7986198243412798,0.25260765689645126,0.7444943574011176,0.2718546082079491,0.7236337971365194,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-689b60fb6aed.pt
run,trial024_c_risk,,validation,raw,42,True,0.04057145962146337,0.010241406781567916,138.0548955736574,0.32607972549500186,0.6657839284697307,-0.02027273364365101,0.06265823543071747,0.4791465997695923,0.322050569924203,0.6341463414634146,0.3201018400648073,0.6648570394498733,0.31709292905913666,0.6672740155886223,0.22418879056047197,0.6818181818181818,0.3321610249324876,0.6570720548989707,0.30152003164378144,0.6767695435224542,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-513bef4faee9.pt
run,trial024_c_risk,,test,raw,42,True,0.04144649696477514,0.006388958967879121,5.593921467329282,0.3740696124815959,0.6264483917225787,-0.01448631752282381,0.06219564005732536,0.5014403462409973,0.37669745490343687,0.6156202143950995,0.3716122307157748,0.6287746443723484,0.36981700254806577,0.6307395993836672,0.2864182322143517,0.705771643663739,0.3443272536565468,0.6543223403089734,0.37059806935231626,0.6289574510990119,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-513bef4faee9.pt
run,trial024_c_risk,,validation,raw,7,True,0.054002440102499015,0.008385840159207689,43.97843041552143,0.23051650589683886,0.7571758072783188,-0.032824110239744186,0.07584244757890701,0.4721730947494507,0.23583868541341202,0.718931475029036,0.22205184585117463,0.7568765834238147,0.22928480499942136,0.7579208421905052,0.19174041297935104,0.6666666666666666,0.23764366011430008,0.7481890964544414,0.20647567384302423,0.7808168545555351,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-d67079724474.pt
run,trial024_c_risk,,test,raw,7,True,0.04414674540721351,0.005861415495388807,4.9855075487163205,0.28989100135593615,0.7125197567434607,-0.02772338315844536,0.07695931941270828,0.4967614710330963,0.30225555201667775,0.6953918975358485,0.2850359045633542,0.7183678562515597,0.2915508454945564,0.7121340523882896,0.21589159223898985,0.7829360100376411,0.25738593322067477,0.7402213213542237,0.284959283826781,0.7139544262956241,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-d67079724474.pt
run,trial024_c_risk,,validation,raw,123,True,0.04809836219082535,0.008540339461495398,41.56534907396265,0.2249260342080846,0.7634973517854092,-0.03332969918847084,0.07631401717662811,0.4718054533004761,0.22999479257073424,0.7147502903600464,0.21895613933572503,0.759229098805646,0.22069204953130425,0.7676890373519587,0.1976401179941003,0.6818181818181818,0.23274508572505181,0.7510484178421655,0.201785613380799,0.7856218813527999,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-e036317a7e98.pt
run,trial024_c_risk,,test,raw,123,True,0.0425018192566956,0.005811596495313344,5.13551888775738,0.295006314123268,0.7065325475993595,-0.026420677080750465,0.07554428279399872,0.49712809920310974,0.3068593103048904,0.6909369344285118,0.2892054667593236,0.7124407287247317,0.2931723419041001,0.7088983050847457,0.21435170927009548,0.7841907151819323,0.2630965561447468,0.7311274241262189,0.2874400043142965,0.7121395442629562,ai\artifacts\checkpoints\patchtst_1D_patchtst-1D-e036317a7e98.pt
aggregate,trial006_c_balanced,보류 후보,validation,median,"42,7,123",True,0.053421786277584114,0.008437799768786053,38.505982658240875,0.24710118286911412,0.7405746340907796,-0.03311160206794739,0.07625237852334976,0.47108185291290283,0.2524445987386449,0.6875725900116144,0.2510415461173475,0.7252081071299312,0.2318308066196042,0.7528596011742079,0.1710914454277286,0.6818181818181818,0.25573070401306286,0.7195958825772016,0.22597050347516529,0.7423766401774163,
aggregate,trial006_c_balanced,보류 후보,validation,mean,"42,7,123",True,0.048915420082533904,0.008169932863610911,36.37073098157734,0.2604043268772528,0.7290800539134726,-0.029644255836804707,0.07269825289646785,0.4734569291273753,0.26511600995197593,0.6867208672086721,0.25939320294718976,0.7175473519121728,0.24880415075415652,0.7370179167931976,0.18092428711897737,0.6868686868686869,0.2652138416127614,0.716164696911933,0.24102013523949442,0.7409597733012999,
aggregate,trial006_c_balanced,보류 후보,validation,std,"42,7,123",True,0.007099858826388241,0.0012267554903412816,22.72654362754719,0.026059468846888215,0.02314328825526347,0.004920663231357437,0.005178677164178167,0.005465130530411304,0.02981818071570823,0.023431046283467247,0.02874779768493465,0.02663548875129746,0.024909502964291303,0.022726381150957896,0.016036879479154467,0.018897259529161353,0.025139571026150494,0.02146050745271412,0.03188678043944129,0.028009074715038145,
aggregate,trial006_c_balanced,보류 후보,validation,min,"42,7,123",True,0.03889168418491497,0.006551553709605591,7.530381058449931,0.2372915973693271,0.6967936670653226,-0.03313576430082321,0.06537554413080215,0.46827495098114014,0.23661979980327488,0.6576074332171893,0.22911121397986345,0.681777053926891,0.2305578058095128,0.7048790363397105,0.168141592920354,0.6666666666666666,0.24028135401620299,0.6883339687380862,0.21173080183081877,0.7059693217519867,
aggregate,trial006_c_balanced,보류 후보,validation,max,"42,7,123",True,0.054432789785102624,0.009520445112441092,63.075829228041215,0.29682020039331714,0.7498718605843158,-0.022685401141643524,0.07646683603525162,0.4810139834880829,0.306283631314008,0.7149825783972126,0.2980268487443583,0.745656894679696,0.2840238398333526,0.7533151128656747,0.20353982300884957,0.7121212121212122,0.2996294668090184,0.7405642394205109,0.2853591004124993,0.7745333579744964,
aggregate,trial006_c_balanced,보류 후보,test,median,"42,7,123",True,0.042207046186910985,0.005298420956578071,3.7659632319915852,0.28167973137333635,0.7179940755937491,-0.02996685355901718,0.07922161370515823,0.49579542875289917,0.2877783246952544,0.7016566894055408,0.2762045401899467,0.7226728225605191,0.2813006717627982,0.7201078582434515,0.19525716045580535,0.7986198243412798,0.25260765689645126,0.7444943574011176,0.2718546082079491,0.7236337971365194,
aggregate,trial006_c_balanced,보류 후보,test,mean,"42,7,123",True,0.04050305330150641,0.0055924231335766775,4.305075003194138,0.3008606993837183,0.7005278932071693,-0.02646611010034879,0.07556285460789998,0.49575275182724,0.31100944880369846,0.6819806023481368,0.3018975368697398,0.6980284502121288,0.2952281677090572,0.7073831535695941,0.21199055538445744,0.7854454203262233,0.272886195443156,0.7231656988422629,0.2922576354059933,0.7044094911608524,
aggregate,trial006_c_balanced,보류 후보,test,std,"42,7,123",True,0.00440267019078756,0.0008148286521596918,1.5846546792538716,0.03656779157159729,0.03509713971967987,0.006338129238077891,0.007280748312206926,0.004457073649196341,0.037788719939868716,0.034631774480038346,0.03682786474553304,0.035738375835638964,0.03702136245873755,0.0350029590058057,0.030664256125125654,0.03186967532403609,0.037663874513263494,0.03710814320903828,0.03341527353940126,0.0327554467043098,
aggregate,trial006_c_balanced,보류 후보,test,min,"42,7,123",True,0.03446477076968967,0.004774493841939347,2.690827673930624,0.26885944237853315,0.6515590818217026,-0.031861815601587296,0.06539836525917053,0.49027276039123535,0.2809450733995425,0.6333008492273423,0.27550961315728517,0.6474918891939107,0.2584839008570767,0.6595916795069338,0.1857098860486603,0.7415307402760352,0.24037060777343977,0.6709762243891749,0.26554494957665964,0.6582980439604759,
aggregate,trial006_c_balanced,보류 후보,test,max,"42,7,123",True,0.04483734294791856,0.006704354602212616,6.458434103660205,0.35204292439928536,0.7320305222060562,-0.017569661140441895,0.08206858485937119,0.5011900663375854,0.36430494831629845,0.7109842684115272,0.3539784572619875,0.7239206388819566,0.3458999305072967,0.7424499229583975,0.2550046196489067,0.8161856963613551,0.32568032165957694,0.7540265147364961,0.3393733484333711,0.7312966323855616,
aggregate,trial024_c_risk,보류 후보,validation,median,"42,7,123",True,0.04809836219082535,0.008540339461495398,43.97843041552143,0.23051650589683886,0.7571758072783188,-0.032824110239744186,0.07584244757890701,0.4721730947494507,0.23583868541341202,0.7147502903600464,0.22205184585117463,0.7568765834238147,0.22928480499942136,0.7579208421905052,0.1976401179941003,0.6818181818181818,0.23764366011430008,0.7481890964544414,0.20647567384302423,0.7808168545555351,
aggregate,trial024_c_risk,보류 후보,validation,mean,"42,7,123",True,0.04755742063826258,0.009055862134090334,74.53289168771383,0.2605074218666418,0.7288190291778195,-0.028808847690622013,0.0716049000620842,0.47437504927317303,0.2626280159694498,0.6892760356174991,0.25370327508390234,0.7269875738931114,0.2556899278632874,0.7309612983770287,0.20452310717797442,0.6767676767676768,0.26751659025727986,0.7187698563985259,0.23659377295586823,0.7477360931435965,
aggregate,trial024_c_risk,보류 후보,validation,std,"42,7,123",True,0.005496500249732059,0.0008406761532535996,44.92764163003008,0.046422757319896986,0.04464719791280645,0.006039472234858517,0.006329175854247533,0.003377332346064497,0.04208576726771451,0.0390199347295816,0.0469678820993669,0.04394341865632236,0.04355996080903357,0.045209931806377064,0.014112782787027845,0.00714249273925805,0.04575424358184097,0.04364254775719415,0.04594970777703381,0.050219255566486536,
aggregate,trial024_c_risk,보류 후보,validation,min,"42,7,123",True,0.04057145962146337,0.008385840159207689,41.56534907396265,0.2249260342080846,0.6657839284697307,-0.03332969918847084,0.06265823543071747,0.4718054533004761,0.22999479257073424,0.6341463414634146,0.21895613933572503,0.6648570394498733,0.22069204953130425,0.6672740155886223,0.19174041297935104,0.6666666666666666,0.23274508572505181,0.6570720548989707,0.201785613380799,0.6767695435224542,
aggregate,trial024_c_risk,보류 후보,validation,max,"42,7,123",True,0.054002440102499015,0.010241406781567916,138.0548955736574,0.32607972549500186,0.7634973517854092,-0.02027273364365101,0.07631401717662811,0.4791465997695923,0.322050569924203,0.718931475029036,0.3201018400648073,0.759229098805646,0.31709292905913666,0.7676890373519587,0.22418879056047197,0.6818181818181818,0.3321610249324876,0.7510484178421655,0.30152003164378144,0.7856218813527999,
aggregate,trial024_c_risk,보류 후보,test,median,"42,7,123",True,0.0425018192566956,0.005861415495388807,5.13551888775738,0.295006314123268,0.7065325475993595,-0.026420677080750465,0.07554428279399872,0.49712809920310974,0.3068593103048904,0.6909369344285118,0.2892054667593236,0.7124407287247317,0.2931723419041001,0.7088983050847457,0.21589159223898985,0.7829360100376411,0.2630965561447468,0.7311274241262189,0.2874400043142965,0.7121395442629562,
aggregate,trial024_c_risk,보류 후보,test,mean,"42,7,123",True,0.042698353876228085,0.006020656986193758,5.238315967934327,0.3196556426536,0.681833565355133,-0.022876792587339878,0.07156641408801079,0.4984433054924011,0.3286041057416684,0.6673163487864867,0.3152845340128176,0.6865277431162133,0.3181800633155741,0.6839239856189009,0.23888717790781233,0.7576327896277708,0.28826991434065613,0.7085570285964721,0.3143324524977979,0.6850171405525307,
aggregate,trial024_c_risk,보류 후보,test,std,"42,7,123",True,0.001111096997034549,0.0002612218029148845,0.25880147328299624,0.03853311727599558,0.0392394339244332,0.005956750492084043,0.006651272389986672,0.0021245068432181875,0.034059030352129406,0.03659990352747941,0.039866053848036105,0.04090923303337749,0.0365188301439734,0.037630233585659825,0.03361540968571674,0.03667494527854801,0.03970702517127091,0.03852900034977966,0.039798686942736264,0.039647110322753275,
aggregate,trial024_c_risk,보류 후보,test,min,"42,7,123",True,0.04144649696477514,0.005811596495313344,4.9855075487163205,0.28989100135593615,0.6264483917225787,-0.02772338315844536,0.06219564005732536,0.4967614710330963,0.30225555201667775,0.6156202143950995,0.2850359045633542,0.6287746443723484,0.2915508454945564,0.6307395993836672,0.21435170927009548,0.705771643663739,0.25738593322067477,0.6543223403089734,0.284959283826781,0.6289574510990119,
aggregate,trial024_c_risk,보류 후보,test,max,"42,7,123",True,0.04414674540721351,0.006388958967879121,5.593921467329282,0.3740696124815959,0.7125197567434607,-0.01448631752282381,0.07695931941270828,0.5014403462409973,0.37669745490343687,0.6953918975358485,0.3716122307157748,0.7183678562515597,0.36981700254806577,0.7121340523882896,0.2864182322143517,0.7841907151819323,0.3443272536565468,0.7402213213542237,0.37059806935231626,0.7139544262956241,
